"8 and more symbols","8 и более символов"
"public offer text","Договор публичной оферты о продаже товаров и предоставлении услуг Данный документ является официальным предложением (публичным договором) в соответствии с ст.633 Гражданского Кодекса. Договор публичной оферты является публичным и, согласно ст 633, 641 Гражданского кодекса Украины, его условия одинаковы для всех потребителей, безоговорочное принятие условий которого (оплата любым способом в соответствии с ч.2 ст. 642 Гражданского кодекса Украины) считается акцептом настоящего Договора между Покупателем и Продавцом и удостоверяет факт его заключения. Определение терминов Договор публичной оферты (Предложения) - договор, публично заключенный между Продавцом и Покупателем об условиях продажи товаров и услуг. Покупатель - любое дееспособное физическое лицо, которому на момент заключения Договора исполнилось 18 лет, или юридическое лицо, или физическое лицо-предприниматель, на основании заключенного с Продавцом договора публичной оферты, приобретет товары и получает услуги и оплачивает их. Продавец - юридическое лицо или физическое лицо-предприниматель, размещает на Сайте информацию о товарах и / или услуги, которые реализуются ней. Продавцом может быть как Администрация, так и любая другая лицо, которому Администрация сайта предоставил разрешение на размещение сведений о товарах и / или услуги имеющиеся у такого лица. Наименование Продавца указывается в документах на товары, документах, свидетельствующих о передаче Товара Покупателю (акт приема-передачи), и любых других документах, которые могут подтверждать факт передачи Товара Покупателю. Администрация - администрация сайта интернет-магазина ringoo.ua. Общество с ограниченной ответственностью Гараж Мобайл Груп (код ЕГРПОУ: 35040775, расположенного по адресу: 0813, г.. Вишневое ул. Промышленная, 5). Пользователь - физическое лицо, резидент Украины, достигший 18-летнего возраста, обладает полной гражданской дееспособностью, что использует данный сайт и / или его отдельные инструменты и модули, и согласилась с условиями оферты. Сайт - web-сайт, принадлежащий Владельцу сайта, на котором содержится актуальный перечень товаров и услуг, по URL-адресу: ringoo.ua. Товар - товары и услуги, или иные материальные или нематериальные объекты, информация о которых размещена на веб-сайте. Документ на товары и услуги - расчетный документ (товарный или кассовый чек, квитанция и т.п.), который получает Покупатель по результатам оплаты товаров и услуг при получении их от продавца Заказ - обращение пользователя с помощью веб-сайта и / или звонка на горячую линию продавца , относительно осуществления реализации товаров и / или услуг, а также скупнисть товаров и / или услуг, указанных в заказе пользователя. Плательщик - лицо, осуществляющее оплату Заказ пользователя. Получатель - лицо, указанное Плательщиком в форме Заказ в качестве лица, уполномоченное Плательщиком получить приобретенные товары и / или услуги. Если иначе не указано в форме Заказ, Получателем является Плательщик. Предложение - сведения о товарах и / или услуги, размещены Продавцом на веб-сайте, включающие информацию о товарах и / или услуги, цену, способах оплаты и доставки, информацию о скидках и акционные предложения, а также другие условия приобретения товаров и / или услуг. Условия предложений, размещенных на веб-сайте устанавливаются Продавцом. Стороны - Продавец, Покупатель, Пользователь, Администрация, Плательщик. 1. Общие положения 1.1. Настоящее Соглашение регулирует порядок доступа пользователя к информации о товарах и / или услуги, размещена на веб-сайте, а также возможность продажи и передачи этих товаров и / или услуг Пользователю. 1.2. Настоящее Соглашение является публичной офертой. Используя материалы и инструменты Сайта Пользователь считается безусловно принимающим (акцептуя) данное Соглашение. Пользователь должен полностью ознакомиться с условиями настоящего Соглашения до момента регистрации на Сайте и / или проставления символа галочка. Регистрация пользователя на веб-сайте, и / или оформления Заказа свидетельствует о полном и безусловное принятие Пользовательского Соглашения (в соответствии с ст.614, ст.642 Гражданского Кодекса Украины). 1.3. Сайт является платформой для размещения предложений Продавцами. 1.4. Информация о товарах и / или услуги отражена на веб-сайте www. ringoo.ua является динамичной. Это означает, что информация может быть обновлена, изменена, дополнена, удалена Администрацией в любой момент времени без предварительного уведомления пользователя. Администрация Сайта вправе в любое время вносить изменения в условия настоящего Соглашения. Изменения вступают в силу с момента размещения новой версии Соглашения на веб-сайте и не требуют дополнительного уведомления пользователя. 1.5. Предложение на веб-сайте не является офертой. Пользователь после ознакомления с размещенной на веб-сайте Предложением вправе предложить оферту Продавцу путем заполнения формы Заказ и / или осуществить заказ через Кол Центр Веб-сайта. Заполнение формы Заказ считается офертой пользователя Продавцу на приобретение Пользователем товаров и / или услуг на условиях, указанных в соответствующей Предложения. 1.6. Оферта считается принятой Продавцом, если Продавец выполнил действия, свидетельствующие о принятии оферты пользователя, а именно: фактически отгрузил товар, приступил к выполнению услуг, в соответствии с условиями, предусмотренными офертой пользователя, предоставил счет на оплату заказанных товаров и / или услуг. 1.7. Продавец вправе предложить реализовать товары и / или услуги на других условиях после получения оферты пользователя. В таком случае такое предложение будет считаться встречной офертой и должна быть принята пользователем. Принятием встречной оферты считается фактическое получение Пользователем и / или Получателем товаров и / или услуг на условиях, предусмотренных встречной офертой. Продавец имеет право отозвать встречную оферту до момента получения товара и / или услуги Покупателем. 1.8. Согласованием всех существенных условий Сторонами является оплата и / или фактическое получение товара и / или услуги Покупателем, а также отгрузки товара и / или услуги Продавцом. 1.9. Стороны согласились, что направление Продавцом и / или Администрацией Сайта любых уведомлений о наличии товаров и / или услуг, принятии Заказ, сроках доставки товара, его стоимости, условиях и формах оплаты, статусе и / или изменениях статуса Заказ и т. д., с помощью электронной почты, смс-сообщений проводных средств связи и др., считается сообщению Покупателя о получении Продавцом оферты и не могут свидетельствовать о ее акцепте со стороны продавца. 1.10. В случае принятия (акцепта) оферты продавца Покупатель дает согласие на получение информации о товаре и / или услуги путем дистанционной связи. Подписание документов, подтверждающих принятие товара и / или фактическое принятие товара означает, что Покупатель получил все необходимые сведения (информацию) о товаре до момента его принятия. 1.11. Доставка товара осуществляется: компанией перевозчиком ООО Новая Почта, ЕГРПОУ 31316718; компанией перевозчиком ПАО Укрпочта, ЕГРПОУ 21560045; компанией перевозчиком ООО удобная доставка, ЕГРПОУ 38968192; Общество с ограниченной ответственностью Торговый Дом Мост Экспресс, ОКПО 36152228. путем же вывоза из отделения компании ООО Новая Почта, ПАО Укрпочта. путем адресной доставки по городу Киев, или самостоятельным вывозом товара Покупателем или Получателем с розничного магазина сети Ringoo. В случае отсутствия в населенном пункте отделения компании перевозчика или розничного магазина сети Ringoo, Покупатель имеет право выбрать для доставки ближайший населенный пункт, в котором представлено отделения компании перевозчика или розничный магазин сети Ringoo. Доставка приобретенного товара осуществляется за счет Покупателя / Плательщика. Продавец не осуществляет доставку на временно оккупированных территориях Украины (АР Крым, территории Луганской и Донецкой областей), а также в другие населенные пункты, в которых отсутствуют отделения компании перевозчика. 1.12. Моментом получения товара Получателем считается подписание документа, подтверждающего факт приема Покупателем / Получателем заказанного товара (товарно-транспортная накладная, акт приема-передачи, декларация на пересылку и т.д.) или фактическое получение товара и совершения действий, свидетельствующих о принятии товара . При получении товара Получатель обязан проверить товар на наличие повреждений, наличие комплекта необходимых сопроводительных документов на товар (расчетный документ, гарантийный талон, акт приема-передачи и др.) И в случае несоответствий и / или повреждений безотлагательно предъявить претензию службе доставки. Продавец не несет ответственности за действия компании перевозчика. 2. Информация о Товаре 2.1. Информация о Товаре содержится в самом товаре, его упаковке, товаросопроводительной документации. Информация о Товаре также может быть предоставлена дистанционно (путем размещения информации о Товар под веб-сайте и т.д.). Пользователь дает свое согласие на получение информации о товарах с помощью средств дистанционной связи. 2.2. При получении Товара, до момента подписания документов, подтверждающих получение Товара Получатель должен ознакомиться с информацией о товаре. В случае необходимости получения дополнительной информации о Товаре Покупатель / Получатель обязан обратиться к Продавцу с целью получения необходимой информации, до момента принятия Товара Покупателем / Получателем. 2.3. Принятие Товара, подписания документов о получении товара (товарно-транспортная накладная, акт приема-передачи и т.д.) свидетельствует о том, что Продавец предоставил Покупателю полную, необходимую, доступную и достоверную информацию о товаре, обеспечило возможность сознательного и компетентного выбора. Кроме того, информация о продукции, предоставленной Покупателю / Пользователю, не может быть расценена как реклама. 2.4. На товары и / или услуги указана в Предложения считается ориентировочной. На товары и / или услуги согласованные Сторонами может быть изменена Продавцом до момента выдачи Товара Покупателю / Получателю. 2.5. В случае изменения цены Товара и / или услуг, согласованных Сторонами в Предложения, Получатель вправе отказаться от получения и принятия Товара и / или услуг. При этом Получатель / Плательщик вправе потребовать возврата уплаченной за товар и / или услуги средств. Любые другие компенсации (в т.ч. возмещение убытков, неустойка и др ..) Продавцом или Администрацией не предоставляются. 2.6. Сайт является платформой для размещения предложений Продавцами. В связи с этим, Администрация не несет никакой ответственности перед пользователями (Покупателями, Получателями, Плательщиками) за выполнение Продавцом Заказов, и связанными с исполнением Заказов действиями. 2.7. Указанные в Предложения условия считаются предварительными условиями приобретения Товара и / или услуг. Условия Предложения могут быть изменены Продавцом, в том числе после принятия Заказа к исполнению. Конкретные условия продажи Товара и / или услуг могут быть изменены Продавцом до момента передачи Товара и / или услуги Покупателю / Получателю. 2.8. В случае с старения информации (в т.ч. предложений) на веб-сайте Администрация не обязуется изменять или обновлять такую информацию. Администрация ни при каких обстоятельствах не несет ответственности за любые убытки (включая, но не ограничиваясь ущербом от потери прибыли, данных или от прерывания деловой активности), возникшие вследствие использования, невозможности использования или результатов использования этого веб-сайта. 2.9. Ответственность продавца за изменение условий приобретения Товара по сравнению с указанными в Предложения ограничивается тем, что Пользователь (Плательщик, Получатель) вправе отказаться от приобретения Товара и потребовать возврата уплаченных за него денежных средств (в случае если такие средства были уплачены). 2.10. Пользователь несет ответственность за достоверность данных, указанных в форме Заказа. В случае если неточные (недостоверные) сведения, указанные в Заявке, привели к дополнительным расходам продавца, связанных с доставкой Товара по неверному адресу или выдачей Товара ненадлежащего получателя, все связанные с этим убытки возлагаются на пользователя. Продавец имеет право удержать сумму таких убытков или расходов из сумм, уплаченных Плательщиком в качестве оплаты Товара (провести зачет встречных требований). 3. Права и обязанности сторон 3.1. Пользователь обязуется внимательно ознакомиться с настоящим Соглашением. В случае, если Пользователь не согласен с ее условиями, Пользователь обязуется немедленно прекратить использование Сайта. 3.2. Пользователь соглашается не выполнять действия, которые могут быть расценены как нарушающие действующее законодательство Украины или нормы международного права, в том числе в сфере интеллектуальной собственности, авторских и смежных прав, а также любых действий, которые могут привести к нарушениям в нормальной работе сайта и его сервисов. 3.3. Использование материалов, размещенных на веб-сайте без письменного разрешения правообладателя не допускается. Для правомерного использования материалов Сайта необходимо заключение лицензионных соглашений с правообладателями .. 3.4. В случае цитирование материалов Сайта, включая авторские произведения, охраняемые ссылки на веб-сайт обязательна. 3.5. Комментарии и иные записи Пользователя на Сайте не должны противоречить требованиям законодательства Украины и общепринятым нормам морали и этики. 3.6. Пользователь предупрежден о том, что Администрация не несет ответственности за посещение и использование им внешних ресурсов, ссылки на которые могут содержаться на веб-сайте. 3.7. Пользователь понимает и соглашается, что любые материалы или сервисы Веб-сайта и / или их части могут сопровождаться рекламой. Пользователь соглашается, что Администрация не несет никакой ответственности и не несет каких-либо обязанностей связанных с такой рекламой. 3.8. Пользователь осознает, что Продавцы являются отдельными субъектами хозяйствования, не подконтрольные Администрации. Пользователь осознает, что Администрация не имеет никаких полномочий относительно влияния на выполнение Продавцами своих обязательств относительно принятия и / или выполнения Заказа, а также обстоятельств, возникающих после продажи Товара (гарантийные обязательства и др ..). 3.9. Администрация и / или Продавец не несут ответственности за ущерб, причиненный Покупателю вследствие ненадлежащего использования приобретенных им Товаров. 3.10. Администрация и / или Продавец рассматривают претензии покупателей в течение 30 (тридцати) рабочих дней с момента получения таких претензий. 3.11. В случае наступления обстоятельств непреодолимой силы, стороны освобождаются от выполнения условий настоящего Договора. Под обстоятельствами непреодолимой силы для целей настоящего Договора понимаются события, имеющие чрезвычайный, непредвиденный характер, исключающих или объективно препятствующих исполнению настоящего Договора, наступление которых Стороны не могли предвидеть и предотвратить разумными способами 3.12. В случаях, не предусмотренных настоящим Договором, Стороны несут ответственность установленную действующим законодательством Украины. 4. Конфиденциальность и защита информации 4.1. Пользователь / Покупатель дает свое согласие Администрации / Продавцу на сбор, обработку, накопление, хранение и использование своих персональных данных (фамилия, имя, отчество, адрес, номер мобильного телефона и другие персональные данные), а также передачи их третьим лицам исключительно с целью и в рамках обеспечения Продавцом выполнения обязанностей возложенных на него в соответствии с условиями данной оферты. 4.2. Администрация / Продавец имеет право отправлять информационные, в том числе рекламные сообщения на электронную почту и мобильный телефон Покупателя с его согласия. Покупатель вправе отказаться от получения рекламной и другой информации без объяснения причин отказа, направив письменное заявление об отказе от получения рекламной и другой информации Администрации / Продавцу по адресу, указано на веб-сайте. Сервисные сообщения, информирующие Покупателя о заказе и этапы его обработки, отправляются автоматически и не могут быть отклонены Покупателем. 4.3. Администрация / Продавец вправе использовать технологию Cookies. Cookies не содержат конфиденциальную информацию и не передаются третьим лицам. 4.4. Продавец вправе осуществлять записи телефонных разговоров с Покупателем, предварительно уведомив Покупателя о таком запись. При этом Продавец обязуется: предотвращать попытки несанкционированного доступа к информации, полученной в ходе телефонных переговоров, и / или передачу ее третьим лицам, не имеющим непосредственного отношения к исполнению Заказов, согласно Закону Украины от 02.10.1992 года № 2657-XII об информации. 4.5. Покупатель / Пользователь вправе требовать исправления данных о себе, удаления, если в них больше нет необходимости, ограничивать обработку информации, когда она отрицается, получать информацию об условиях предоставления доступа к персональным данным, включая информацию о третьих лицах, которым передаются его персональные данные на доступ к своим персональным данным, иные права и обязанности предусмотренные действующим законодательством Украины. 5. Другие условия 5.1. Сайт может временно частично или полностью недоступен в результате проведения технических, профилактических или иных работ или по любым другим причинам технического характера. 5.2. По всем вопросам, которые не предусмотрены условиями данной оферты, Стороны руководствуются действующим законодательством Украины. 5.3. В случае возврата Товара Покупателем по причинам, указанным в Законе Украины О защите прав потребителей, Покупатель обязуется оплатить компании перевозчика, который будет осуществлять доставку такого Товара от Покупателя к Продавцу. 5.4. В случае возврата средств уплаченных Покупателем или Плательщиком за приобретенные товары и / или услуги путем денежного перевода через соответствующие компании, предоставляющие услуги по переводу наличных средств, Покупатель или Плательщик обязуется оплатить стоимость услуг по переводу денежных средств. 6. Срок действия договора 6.1. Настоящий Договор вступает в силу с момента его акцепта Пользователем - согласно п.1.2. настоящего Договора и действует до момента исполнения Сторонами своих обязательств в полном объеме. 6.2. Стороны имеют право расторгнуть Договор по взаимному согласию, но до момента фактической доставки товара. Реквизиты Администрации ООО Гараж Мобайл Групп Адрес: 08132, Киевская обл. Киево - Святошинский р-н., Г. Вишневое, ул. Промышленная, 5 код ЕГРПОУ: 35040775"
"s":"сек."
"service centers metadesc"," Выберите бренд, чтобы узнать адреса сервисных центров и время работы."
"service centers text","Нажмите на бренд, чтобы узнать адреса сервисных центров и время работы."
"shop":"Самовывоз из магазина"
"shops metadesc",""
"sim_filter","Количество SIM-карт"
"slot_dlya_karty_pamyaty_filter","Слот для карты памяти"
"st.","ул."
"stores text","Выбирайте ближайший магазин связи ringoo из 118 торговых точек в 21 области и 70 городах Украины."
"street","Ул"
"the Payment","Оплата"
"the_product_for_price","товар на сумму"
"to account","на аккаунт"
"users accepting","пользовательского соглашения"
"using a promo code metadesc",""
"using a promo code text","Чтобы воспользоваться промокодом ringoo и получить дополнительную скидку на товары нашего интернет-магазина, достаточно сделать всего два шага: Добавить необходимые вам товары в корзину. В корзине в поле Код купона ввести свой промокод и нажмите кнопку Применить купон. После этого вы сразу увидите количество сэкономленных гривен. Если у вас есть несколько промокод для различных товаров - добавляйте каждый промокод отдельно друг за другом, и они все будут учтены. Промокод не распространяются: Акционные предложения; Настройках и консультации; Подарочные сертификаты; Сервисы и услуги; Скретч-карты; Стартовые пакеты; Товарная группа товаров Бандл."
"warranty, exchange, return metadesc"," Все товары в сети ringoo имеют соответствующие сертификаты и заключения для продажи на территории Украины."
"warranty, exchange, return text","Все товары в сети ringoo имеют соответствующие сертификаты и заключения для продажи на территории Украины. Обмен, возврат обмен и возврат товара, приобретенного в сети ringoo, происходит в соответствии с Законом Украины О защите прав потребителей. Вы можете в течение 14 дней вернуть товар, если: товар не использовался сохранен его товарный вид сохранены потребительские свойства, пломбы, ярлыки есть расчетный документ, выданный потребителю вместе с проданным товаром. Адреса сервисных центров Горячая линия 0800-30-84-80 Подробнее об условиях обмена и возврата товара Условия обмена / возврата товара надлежащего качества Статья 9. В соответствии с Законом Украины О защите прав потребителей: Потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный у продавца , у которого он был приобретен, если товар не удовлетворил его по форме, габаритам, фасону, цвету, размеру или по другим причинам не может быть им использован по назначению. Потребитель имеет право на обмен товара надлежащего качества в течение четырнадцати дней, не считая дня покупки. Обмен товара надлежащего качества производится, если он не использовался, если сохранены его товарный вид, потребительские свойства, пломбы, ярлыки, расчетный документ, выданный потребителю вместе с проданным товаром. Разъяснение: Товарный вид: Новый товар реализуется по заводским защитными пленками, это является одним из факторов определения товарного вида. Раскрыта зарядка, гарнитура, любые провода и батарея закрыты защитными пленками. Покупатель должен помнить, что повреждать эти элементы упаковки не рекомендуется! Так же, должны отсутствовать потертости и царапины на изделии. Не использовалось: Вся электроника поставляется с программным обеспечением по умолчанию. Проверить, использовалось устройство или нет - может авторизованный сервисный центр менеджер по приему товара. В случае выявления посторонних программ, изменения в настройках, следы использования (файлы, фотографии, заметки, видеозаписи) - магазин может воспользоваться правом отказать клиенту, как нарушение этого пункта. Пломбы, ярлыки и расчетные документы: Так же, этот пункт относится к товарному виду. Если при возвращении вы потеряли какой-то документ, информационные данные, или сорвали пломбу на товаре - ситуация будет аналогичной. Расчетные документы, оригинал чека и гарантийного талона, необходимо предоставлять для возврата средств. Аксессуары: Возврату подлежат нераспакованных аксессуары. Если есть следы открытия аксессуара и попытки повторного упаковывание (особенно это касается ПЭ упаковки или блистеров) - товар вернуть невозможно. Когда же можно их вернуть? Можно отказаться от покупки, проверив его перед продажей. Условия обмена / возврата товара ненадлежащего качества Статья 8. В соответствии с Законом Украины О защите прав потребителей: В случае выявления на протяжении установленного гарантийного срока недостатков потребитель, в порядке и в сроки, установленные законодательством, имеет право требовать: пропорционального уменьшения цены безвозмездного устранения недостатков товара в разумный срок возмещения расходов на устранение недостатков товара. Требования потребителя, предусмотренные настоящей статьей, не подлежат удовлетворению, если продавец, производитель (предприятие, которое удовлетворяет требования потребителя, установленные частью первой этой статьи) докажут, что недостатки товара возникли вследствие нарушения потребителем правил пользования товаром или его хранения. Потребитель имеет право, участвовать в проверке качества товара лично или через своего представителя. Полный и актуальный текст редакции Закона о защите прав потребителей. Гарантия Если товар не работает, обмен и возврат товара происходит после заключения авторизованного производителем сервисного центра о том, что условия эксплуатации не нарушены. Гарантийный срок указано в описании каждого товара на сайте. Гарантия предоставляется на срок от 14 дней до 36 месяцев, в зависимости от товара. Гарантия может быть предоставлена ​​производителем или продавцом. Подтверждением гарантийных обязательств служит гарантийный талон производителя или гарантийный талон продавца. Адреса сервисных центров Горячая линия 0800-30-84-80 Транспортировка габаритного товара (более 5 кг) в сервисный центр происходит за счет потребителя через службу доставки Новая почта."
"work in the company metadesc"," Смотрите вакансиях в сети мобильной связи ringoo, входящая в группу компаний Fozzy Group - одного из лидеров розничной торговли в Украине."
"work in the company text","Наша компания - это молодой, амбициозный и дружный коллектив, который ставит перед собой цели и достигает результатов в запланированные сроки. Наше руководство знает, что именно коллектив формирует стоимость компании на рынке, мы культивируем лояльное отношение к себе как к работодателю. Преимущества ringoo. Ценим каждого специалиста. Выполняем финансовые обязательства в срок. Поощряем в соответствии с прозрачной системы мотивации. Поддерживаем профессиональный развитие. Предлагаем систему лояльности для сотрудников. Гарантируем официальное трудоустройство. Подробнее о наших вакансии смотрите здесь."
"{count} items","Товары не найдены | {count} товар | {count} товара | {count} товаров"
About us,О нас
Accepts only alphabet characters.,Используйте только буквы алфавита
Add a discount code,Код купона
Add discount code,Применить
Add to cart,Добавить в корзину
Add to compare,Добавить для сравнения
Add to favorite,Добавить в избранное
Are you sure you would like to remove all the items from the shopping cart?,Вы уверены, что хотите удалить все товары из корзины?
Author,Автор
Authorization in progress ...,Выполняется авторизация ...
Back to login,Вернуться на страницу авторизации
Back,Назад
Billing address,Платежный адрес
Cancel,Отмена
Categories,Категории
Change my password,Изменить пароль
City *,Город *
City,Город
Close,Закрыть
Company name *,Название компании *
Contact us,Контакты
Continue to payment,Перейти к оплате
Continue to shipping,Оформить доставку
Copy address data from shipping,Скопировать адресные данные из доставки
Country *,Страна *
Country,Страна
Create a new account,Создать новую учетную запись
Current password *,Текущий пароль *
Customer service,Служба поддержки
Date and time,Дата и время
Delivery,Доставка
Departments,Отделения
Discount code,Купон на скидку
Discount,Скидка
Don't hesitate and,Не раздумывайте и
E-mail address *,Электронный адрес *
Edit newsletter preferences,Изменить новостные предпочтения
Edit payment,Изменить платеж
Edit personal details,Изменить личную информацию
Edit shipping,Изменить доставку
Edit your profile,Редактировать профиль
Edit your shipping details,Изменить данные доставки
Edit,Изменить
Electronics, Электроника
Email address *,Электронный адрес *
Email address,Электронный адрес
Enter your email to receive instructions on how to reset your password.,"Введите адрес электронной почты, чтобы получить инструкцию по смене пароля."
Erin recommends,Erin рекомендует
Error while sending reset password e-mail,Произошла ошибка при отправке сброса пароля на электронную почту
Everything new,Новинки
Field is required,Обязательное поле
Filter,Фильтр
Filters,Фильтры
First name *,Имя *
First name,Имя
Forgot the password?,Забыли пароль?
General agreement,Генеральное соглашение
Get inspired,Для вдохновения
Go review the order,Просмотреть заказ
Go to Facebook,Facebook
Go to Instagram,Instagram
Go to Pinterest,Pinterest
Go to Youtube,Youtube
Go to checkout,Оформить заказ
Help,Помощь
Home,Главная
House/Apartment number *,Номер дома/квартиры *
House/Apartment number,Номер дома/квартиры
I accept ,Я принимаю
I accept terms and conditions,Я принимаю условия пользовательского соглашения
I agree to,Я согласен с
I have a company and want to receive an invoice for every order,У меня есть компания и я хочу получать счет по каждому заказу
